turn,individual_sum,community_sum,total_sum,cooperation_avg,lambda_avg
204,0.4457599999999999,0.46796335813488404,0.9137233581348839,0.4936629235425927,0.44493333333333335
205,0.6671399999999983,0.49947190421637133,1.1666119042163696,0.49580131481082584,0.44665
206,0.4405800000000002,0.5013020185532039,0.9418820185532041,0.49793459670788637,0.44835
207,0.44373000000000035,0.5054229452191157,0.9491529452191161,0.5000724495299617,0.45005
208,0.499492402333693,0.49918727455654954,0.9986796768902424,0.5021712670495063,0.4517333333333333
209,0.6892118633259641,0.5088114078629058,1.1980232711888699,0.504297967826747,0.45343333333333335
210,0.6857048708244312,0.5125745729475611,1.1982794437719924,0.5064277159430854,0.45515
211,0.6742823544588968,0.510853236611129,1.1851355910700259,0.5085375376312395,0.45683333333333337
212,0.7053983547291957,0.512793316519915,1.2181916712491105,0.5106428841310057,0.4585166666666667
213,0.6838319484521564,0.5196670229876496,1.2034989714398059,0.5127642857987854,0.4602333333333333
214,0.6274048877582411,0.5265244645487814,1.1539293523070224,0.5149015475509641,0.4619166666666667
215,0.5449825066480307,0.5299168846480822,1.0748993912961131,0.5170401201891136,0.46365000000000006
216,0.4606808396383898,0.4755229373645742,0.9362037770029641,0.5189407169853076,0.46515
217,0.43720083963838996,0.5287639056298397,0.9659647452682297,0.5210504351640536,0.4668666666666667
218,0.4335008396383897,0.5484315037347306,0.9819323433731202,0.5232287593919202,0.46858333333333335
219,0.42705083963838997,0.5403269847891915,0.9673778244275815,0.525360647707418,0.4703
220,0.42510083963839,0.49740297973953207,0.9225038193779221,0.5273034592746527,0.47185000000000005
221,0.5460008396383885,0.5659028335125933,1.111903673150982,0.5295160742261497,0.4736
222,0.4216408396383893,0.559529921414804,0.9811707610531932,0.531689277194871,0.47535
223,0.4014808396383905,0.5012044945784222,0.9026853342168126,0.5336110948187586,0.4768833333333333
224,0.4248008396383901,0.5404646335351527,0.9652654731735428,0.5356820377832779,0.47855
225,0.5075508396383883,0.5647730087092957,1.072323848347684,0.5378397654463827,0.48028333333333334
226,0.41924083963839015,0.5550418467279414,0.9742826863663316,0.5399450819150915,0.48196666666666665
227,0.4173308396383901,0.5760858856361957,0.9934167252745858,0.5421233631300079,0.4837
228,0.4245208396383901,0.5877279730366677,1.0122488126750577,0.5443358012099359,0.48546666666666666
229,0.7421913458098026,0.5760864077813336,1.318277753591136,0.546487934444126,0.4872
230,0.7597913022993259,0.5779278707186435,1.3377191730179696,0.5486347164445997,0.48890000000000006
231,0.5821785039629044,0.5792957236543618,1.161474227617266,0.5507742755147942,0.49061666666666665
232,0.6866679781968006,0.5810415399508455,1.267709518147646,0.5529081809419183,0.4923166666666667
233,0.5266293544382578,0.5887034613227927,1.1153328157610503,0.5550601863578494,0.4940333333333333
234,0.5773918019866839,0.5948971321914698,1.1722889341781537,0.5572242572929906,0.4957833333333333
235,0.5054000363646171,0.5986150298330374,1.1040150661976547,0.5593903628460971,0.49751666666666666
236,0.40541106588662257,0.6201223764998716,1.0255334423864941,0.5616295163054552,0.49933333333333335
237,0.43978106588662197,0.6644407568866187,1.1042218227732408,0.5640319730838249,0.5012333333333333
238,0.4135810658866219,0.6290974140770309,1.0426784799636528,0.5662790796264106,0.5030333333333333
239,0.4071310658866222,0.6331160811601126,1.040247147046735,0.5685286921744439,0.5048333333333334
240,0.40245106588662233,0.4579865740973512,0.8604376399839736,0.5700704540164071,0.50605
241,0.5451610658866204,0.6516020124121219,1.1967630782987424,0.5723706222150412,0.5078833333333334
242,0.3757510658866229,0.6117975865797349,0.9875486524663578,0.5744996015234131,0.5095999999999999
243,0.4074110658866212,0.6138960188295399,1.021307084716161,0.5766243324687933,0.5113166666666666
244,0.4794810658866224,0.20639777513002994,0.6858788410166524,0.5771310394069634,0.5117166666666667
245,0.4895710658866206,0.5502114841076435,1.039782549994264,0.5789894470709251,0.5131833333333333
246,0.6831499201890787,0.5391032589078602,1.2222531790969389,0.5807936425381263,0.5146333333333334
247,0.42038748896734807,0.5468976678570702,0.9672851568244183,0.5826182936024487,0.5160833333333333
248,0.4017374889673483,0.5499994644252316,0.9517369533925799,0.5844448211085576,0.51755
249,0.7075917780223168,0.5518220830658995,1.2594138610882162,0.58626821278866,0.519
250,0.7795342096018335,0.5698100257338785,1.3493442353357121,0.5881516788378487,0.5205000000000001
251,0.7520100872454948,0.5577406068801708,1.3097506941256656,0.5899773123402255,0.5219833333333334
252,0.6478612223295676,0.5757617748349395,1.2236229971645072,0.5918629417821472,0.5235
253,0.5316642351331456,0.5703163996581763,1.101980634791322,0.5937166158519566,0.5249833333333334
254,0.5365179421516892,0.593073984871805,1.1295919270234942,0.5956483192665925,0.5265166666666666
255,0.5725769889818814,0.5832893541252115,1.1558663431070928,0.5975309968711878,0.5280166666666667
256,0.5604568244352076,0.5887871823302702,1.1492440067654777,0.5994243181663917,0.5295333333333333
257,0.4107721734707391,0.6133769912658935,1.0241491647366328,0.6014021287603497,0.5311333333333333
258,0.4074321734707389,0.6221114151723277,1.0295435886430666,0.6034023693455007,0.5327166666666666
259,0.40134217347073914,0.6124472182442072,1.0137893917149463,0.6053537846911018,0.5342833333333333
260,0.3997521734707391,0.6178134026223983,1.0175655760931375,0.6073147413202631,0.53585
261,0.4800621734707386,0.6564003268431116,1.1364625003138502,0.6094130999442657,0.5375333333333333
262,0.39656217347073835,0.6314792185790057,1.028041392049744,0.6114034352734395,0.5391166666666667
263,0.38495217347073934,0.6305105049103514,1.015462678381091,0.6133786385057348,0.5407000000000001
264,0.3923421734707394,0.634490736553557,1.0268329100242963,0.6153577928272512,0.5423
265,0.4835521734707374,0.6442801584170326,1.1278323318877699,0.6173630532519045,0.5439166666666667
266,0.3956021734707393,0.6464607093321665,1.042062882802906,0.6193651502996967,0.5454833333333333
267,0.4031521734707393,0.6551656257225793,1.0583177991933186,0.6213889925978923,0.5471333333333334
268,0.3926021734707393,0.6589004252417775,1.0515025987125168,0.623415442263947,0.5487333333333334
269,0.7748006233120831,0.6612566940737152,1.4360573173857984,0.6254392441896469,0.5503666666666667
270,0.7193977014169106,0.6615158064846745,1.3809135079015848,0.6274524087628185,0.5519666666666666
271,0.6386226479750632,0.6653294560839236,1.3039521040589865,0.6294685049281785,0.5535833333333333
